Average_Period_Population,Average_Period_Population_Diff,Average_Perc_Pop_Error,Perc_Pos_Pop_Error,Average_Period_Births,Average_Period_Births_Diff,Average_Perc_Bir_Error,Perc_Pos_Birth_Error,Average_Period_Deaths,Average_Period_Deaths_Diff,Average_Perc_Dea_Error,Perc_Pos_Death_Error,YearRange,ModelTitle,NumberOfInitialAgents,FiveYearStep,TopDown,AgentInitializationPerAgeYear,ForceUseSplitAge,splitFertility,country_id
225570532.2,2923082.0825522793,0.012958616775175917,0.002,18968882.5,214303.48989074005,0.0112976338954464,0.355,9989999.899999999,279306.00387275015,0.0279585592260867,0.725,1950-1999,,100000,FALSE,FALSE,TRUE,FALSE,FALSE,2
342395301.79999995,8241611.446424354,0.024070457167775176,0,20352465.3,283178.52495459985,0.013913721054451317,0.183,15716193.2,513598.6300920497,0.03267958236171656,0.964,2000-2049,,100000,FALSE,FALSE,TRUE,FALSE,FALSE,2
411141319.4,17238052.723179456,0.041927317712400804,0,21541635.2,602693.6754259308,0.027978083828377652,0.012,21504416,261665.49111151963,0.012167988710389514,0.706,2050-2099,,100000,FALSE,FALSE,TRUE,FALSE,FALSE,2
225570532.2,722721.395773091,0.003203970787870008,0.37,18968882.5,190929.91420013996,0.010065427639194874,0.378,9989999.899999999,210528.27389109993,0.021073901501350363,0.215,1950-1999,,100000,FALSE,FALSE,TRUE,TRUE,TRUE,2
342395301.79999995,1734534.1426494063,0.005065881843386341,0.278,20352465.3,194926.97884062986,0.009577561045669973,0.398,15716193.2,165147.65054391007,0.010508120410730893,0.293,2000-2049,,100000,FALSE,FALSE,TRUE,TRUE,TRUE,2
411141319.4,2466223.589662319,0.005998481478975181,0.22,21541635.2,207814.7898179302,0.009647122323282598,0.365,21504416,177562.43620690997,0.008257022009196157,0.347,2050-2099,,100000,FALSE,FALSE,TRUE,TRUE,TRUE,2
225570532.2,3134007.344085002,0.01389369131472485,0,18968882.5,165537.33238699994,0.008726783582902152,0.1,9989999.899999999,363252.7624150001,0.03636163824335976,1,1950-1999,,100000,FALSE,TRUE,TRUE,FALSE,FALSE,2
342395301.79999995,9087740.330167998,0.026541661881436477,0,20352465.3,315638.1173189998,0.015508593807503005,0,15716193.2,489319.10065899976,0.03113470892295978,1,2000-2049,,100000,FALSE,TRUE,TRUE,FALSE,FALSE,2
411141319.4,18365640.16799001,0.044669896459912976,0,21541635.2,762397.4613440007,0.035391810058319095,0,21504416,170151.70024500004,0.00791240739785726,0.6,2050-2099,,100000,FALSE,TRUE,TRUE,FALSE,FALSE,2
225570532.2,455400.89774600265,0.0020188847067232423,0.2,18968882.5,114671.661778,0.006045251309770093,0,9989999.899999999,48633.56908900058,0.004868225182765075,0.4,1950-1999,,100000,FALSE,TRUE,TRUE,TRUE,TRUE,2
342395301.79999995,1152125.8076809882,0.0033648995813440464,0,20352465.3,49791.50713099986,0.002446460730779374,0.1,15716193.2,100202.7806420004,0.006375766660974899,0.2,2000-2049,,100000,FALSE,TRUE,TRUE,TRUE,TRUE,2
411141319.4,961631.0831720233,0.0023389307709947077,0,21541635.2,111285.58881200105,0.005166069696138994,0.1,21504416,139348.84081100038,0.006480010469059024,0,2050-2099,,100000,FALSE,TRUE,TRUE,TRUE,TRUE,2
225570532.2,2976277.0226525026,0.013194440752631707,0.164,18968882.5,681994.8557524895,0.03595334916289821,0.138,9989999.899999999,101028.79855973001,0.010112992950052985,0.434,1950-1999,,100000,TRUE,FALSE,FALSE,FALSE,FALSE,2
342395301.79999995,10099678.472863303,0.029497129253142414,0,20352465.3,823047.7542504794,0.04043970802153778,0.001,15716193.2,196245.4844713602,0.012486833291878862,0.229,2000-2049,,100000,TRUE,FALSE,FALSE,FALSE,FALSE,2
411141319.4,12849062.852168584,0.031252180809556905,0,21541635.2,711427.6758373807,0.03302570437351853,0.002,21504416,660529.10289349,0.030715974937124076,0.001,2050-2099,,100000,TRUE,FALSE,FALSE,FALSE,FALSE,2
225570532.2,646012.0897576606,0.002863902848732387,0.497,18968882.5,164659.41024975,0.008680501355298607,0.504,9989999.899999999,93604.19449729002,0.009369789332759657,0.483,1950-1999,,100000,TRUE,FALSE,FALSE,TRUE,TRUE,2
342395301.79999995,1585109.2416800587,0.004629471354738252,0.503,20352465.3,185599.84198518985,0.009119280600625314,0.507,15716193.2,133581.45049318994,0.00849960603011612,0.514,2000-2049,,100000,TRUE,FALSE,FALSE,TRUE,TRUE,2
411141319.4,2043225.1900919592,0.004969642051725048,0.531,21541635.2,201047.46399639983,0.009332971342695463,0.517,21504416,170823.03844824986,0.007943626018407096,0.518,2050-2099,,100000,TRUE,FALSE,FALSE,TRUE,TRUE,2
225570532.2,3028761.0413282327,0.013427113070969795,0.2,18968882.5,674187.8159779996,0.03554177827702816,0.1,9989999.899999999,23483.12295937972,0.0023506629824270294,0.2,1950-1999,,100000,TRUE,TRUE,FALSE,FALSE,FALSE,2
342395301.79999995,10401152.740128106,0.0303776152460282,0,20352465.3,852714.5879729993,0.04189736110116347,0,15716193.2,160581.54188762032,0.010217585126633613,0,2000-2049,,100000,TRUE,TRUE,FALSE,FALSE,FALSE,2
411141319.4,13327888.281959008,0.03241680573825344,0,21541635.2,740006.0413670007,0.03435236157777849,0,21504416,674360.854304,0.03135918010068258,0,2050-2099,,100000,TRUE,TRUE,FALSE,FALSE,FALSE,2
225570532.2,13507.55555763337,5.9881738212405435e-5,0.726,18968882.5,1745.4454789996148,9.201625235432898e-5,0.4,9989999.899999999,7738.131942699566,7.745877898056402e-4,0.315,1950-1999,,100000,TRUE,TRUE,FALSE,TRUE,TRUE,2
342395301.79999995,25436.665236986697,7.429034540854994e-5,0.3,20352465.3,3269.8684200000016,1.606620314444168e-4,0,15716193.2,5445.537926699404,3.464921725891868e-4,0.909,2000-2049,,100000,TRUE,TRUE,FALSE,TRUE,TRUE,2
411141319.4,87571.68208400607,2.129965487579891e-4,0,21541635.2,3588.279141001031,1.6657412994353516e-4,0.1,21504416,6751.204428999498,3.139450254775344e-4,1,2050-2099,,100000,TRUE,TRUE,FALSE,TRUE,TRUE,2
