Average_Period_Population,Average_Period_Population_Diff,Average_Perc_Pop_Error,Perc_Pos_Pop_Error,Average_Period_Births,Average_Period_Births_Diff,Average_Perc_Bir_Error,Perc_Pos_Birth_Error,Average_Period_Deaths,Average_Period_Deaths_Diff,Average_Perc_Dea_Error,Perc_Pos_Death_Error,YearRange,ModelTitle,NumberOfInitialAgents,FiveYearStep,TopDown,TopDownInitialAgents,AgentInitializationPerAgeYear,ForceUseSplitAge,splitFertility,country_id,ImmigrantsImmuneFromDeath
326369051.1333333,9467582.08405203,0.029008823144153418,6.666666666666666e-4,20287661,366725.23009042355,0.01807626961483749,0.18333333333333332,15736869.7,351523.37502543983,0.022337566601662837,0.7983333333333333,1950-2099,,100000,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,2,FALSE
326369051.1333333,1641159.7093616053,0.005028539635307311,0.28933333333333333,20287661,197890.5609529,0.009754232434823314,0.38033333333333336,15736869.7,184412.78688064,0.011718517748205032,0.285,1950-2099,,100000,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,2,TRUE
326369051.1333333,10195795.947414337,0.031240082085016673,0,20287661,414524.30368333345,0.0204323358756504,0.03333333333333333,15736869.7,340907.85443966667,0.021663002931241574,0.8666666666666667,1950-2099,,100000,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,2,FALSE
326369051.1333333,899104.3123260022,0.00275487001357456,0.06666666666666667,20287661,92307.39455000038,0.004549927887201998,0.06666666666666667,15736869.7,92303.35945166713,0.005865420583082487,0.2,1950-2099,,100000,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,2,TRUE
326369051.1333333,8641672.782561464,0.02647822381611495,0.05466666666666667,20287661,738823.4286134499,0.036417378455478426,0.047,15736869.7,319267.7953081934,0.020287884528153236,0.22133333333333333,1950-2099,,100000,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2,FALSE
326369051.1333333,1424782.1738432262,0.004365555400843299,0.5103333333333333,20287661,183768.90541044658,0.009058161283868386,0.5093333333333333,15736869.7,132669.56114624327,0.008430492447061646,0.505,1950-2099,,100000,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,2,TRUE
326369051.1333333,8919267.354471782,0.02732877803057357,0.06666666666666667,20287661,755636.1484393332,0.03724609497562746,0.03333333333333333,15736869.7,286141.839717,0.018182894385723996,0.06666666666666667,1950-2099,,100000,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,2,FALSE
326369051.1333333,42171.967626208716,1.2921558425887624e-4,0.34199999999999997,20287661,2867.8643466668823,1.4136002896868605e-4,0.16666666666666666,15736869.7,6644.9580994661565,4.2225412208033705e-4,0.7413333333333333,1950-2099,,100000,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,2,TRUE
