Average_Period_Population,Average_Period_Population_Diff,Average_Perc_Pop_Error,Perc_Pos_Pop_Error,Average_Period_Births,Average_Period_Births_Diff,Average_Perc_Bir_Error,Perc_Pos_Birth_Error,Average_Period_Deaths,Average_Period_Deaths_Diff,Average_Perc_Dea_Error,Perc_Pos_Death_Error,YearRange,ModelTitle,NumberOfInitialAgents,FiveYearStep,TopDown,TopDownInitialAgents,AgentInitializationPerAgeYear,ForceUseSplitAge,splitFertility,country_id,ImmigrantsImmuneFromDeath
1236590152.1,255108281.97353467,0.2062997845650842,1,105041060.89999999,20440936.372892004,0.19459948517039402,0.883,67853018.23333333,14064447.961323999,0.2072781480841294,0.6123333333333333,1950-2099,,100000,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,3,FALSE
1236590152.1,7504551.923551997,0.006068746310819014,0.5206666666666667,105041060.89999999,879510.4633813333,0.008373015807776683,0.502,67853018.23333333,524103.8603213334,0.007724105337791196,0.5403333333333333,1950-2099,,100000,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,3,TRUE
1236590152.1,255857135.25226668,0.2069053637680726,1,105041060.89999999,20477713.914,0.1949496105479643,0.8666666666666667,67853018.23333333,14102585.064799998,0.20784020272029685,0.6,1950-2099,,100000,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,3,FALSE
1236590152.1,644975.7887999992,5.215760352811233e-4,0.43333333333333335,105041060.89999999,188796.7774666647,0.0017973616778909048,0.2,67853018.23333333,131047.78080000033,0.0019313478488068503,0.6333333333333333,1950-2099,,100000,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,3,TRUE
1236590152.1,110146412.85123731,0.08907269127461889,0,105041060.89999999,9781594.578690665,0.0931216278175525,0,67853018.23333333,4774967.825370666,0.07037222440054884,0.005333333333333333,1950-2099,,100000,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3,FALSE
1236590152.1,6085386.235602667,0.004921101971634137,0.49633333333333335,105041060.89999999,744575.6251213334,0.007088424457462172,0.49533333333333335,67853018.23333333,476216.6449973335,0.007018356108489045,0.492,1950-2099,,100000,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,3,TRUE
1236590152.1,110252152.7059333,0.08915820049084257,0,105041060.89999999,9773834.753066665,0.09304775360533954,0,67853018.23333333,4777778.669999999,0.07041364989203792,0,1950-2099,,100000,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,3,FALSE
1236590152.1,173935.0401613233,1.4065698312892404e-4,0.13333333333333333,105041060.89999999,16224.083999997874,1.5445468525344906e-4,0,67853018.23333333,12765.93627999996,1.8814102323496336e-4,0.795,1950-2099,,100000,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,3,TRUE
